,name,link,mark,episode or len,type,genre,comments,year
387,Экзотическая семейка 2,https://shikimori.one/animes/34076-uchouten-kazoku-2,8.13,12,TV Сериал,Комедия,77 комментариев,С 9 апреля 2017 г. по 25 июня 2017 г.
388,Детектив Конан: Отсчёт до небес,https://shikimori.one/animes/1364-detective-conan-movie-05-countdown-to-heaven,8.13,1 час 40 мин.,Фильм,Приключения,10 комментариев,
389,Принцесса-медуза,https://shikimori.one/animes/8129-kuragehime,8.13,11,TV Сериал,Повседневность,130 комментариев,С 15 октября 2010 г. по 31 декабря 2010 г.
390,Пуй-пуй Молькар,https://shikimori.one/animes/44235-pui-pui-molcar,8.13,12,TV Сериал,Машины,37 комментариев,
391,Класс убийц,https://shikimori.one/animes/z24833-ansatsu-kyoushitsu,8.12,22,TV Сериал,Экшен,735 комментариев,С 10 января 2015 г. по 20 июня 2015 г.
392,Путь аса,https://shikimori.one/animes/z18689-diamond-no-ace,8.12,75,TV Сериал,Комедия,211 комментариев,С 6 октября 2013 г. по 29 марта 2015 г.
393,Легенда о героях Галактики: Увертюра к новой войне,https://shikimori.one/animes/3016-ginga-eiyuu-densetsu-arata-naru-tatakai-no-overture,8.12,1 час 30 мин.,Фильм,Экшен,39 комментариев,
394,Инициал Ди: Стадия вторая,https://shikimori.one/animes/186-initial-d-second-stage,8.12,13,TV Сериал,Экшен,33 комментария,С 15 октября 1999 г. по 21 января 2000 г.
395,Ох уж этот экстрасенс Сайки Кусуо! Начало,https://shikimori.one/animes/40542-saiki-kusuo-no-nan-shidou-hen,8.12,6,ONA,Повседневность,121 комментарий,
396,Ветер крепчает,https://shikimori.one/animes/16662-kaze-tachinu,8.12,2 часа 6 мин.,Фильм,Драма,269 комментариев,
397,Тёмный дворецкий: Глава о цирке,https://shikimori.one/animes/22145-kuroshitsuji-book-of-circus,8.12,10,TV Сериал,Экшен,397 комментариев,С 11 июля 2014 г. по 12 сентября 2014 г.
398,Токийские мстители,https://shikimori.one/animes/42249-tokyo-revengers,8.12,9 / ?,TV Сериал,Экшен,508 комментариев,
399,Не сдавайся!,https://shikimori.one/animes/z4722-skip-beat,8.12,25,TV Сериал,Комедия,312 комментариев,С 6 октября 2008 г. по 30 марта 2009 г.
400,Эхо террора,https://shikimori.one/animes/23283-zankyou-no-terror,8.12,11,TV Сериал,Детектив,2056 комментариев,С 11 июля 2014 г. по 26 сентября 2014 г.
401,Озорная Такаги 2,https://shikimori.one/animes/38993-karakai-jouzu-no-takagi-san-2,8.12,12,TV Сериал,Повседневность,228 комментариев,С 7 июля 2019 г. по 22 сентября 2019 г.
402,Трусливый велосипедист: Большая дорога,https://shikimori.one/animes/24277-yowamushi-pedal-grande-road,8.11,24,TV Сериал,Комедия,74 комментария,С 7 октября 2014 г. по 31 марта 2015 г.
403,Темнее чёрного,https://shikimori.one/animes/z2025-darker-than-black-kuro-no-keiyakusha,8.11,25,TV Сериал,Экшен,754 комментария,С 6 апреля 2007 г. по 28 сентября 2007 г.
404,Серебряная ложка,https://shikimori.one/animes/y16918-gin-no-saji,8.11,11,TV Сериал,Комедия,185 комментариев,С 12 июля 2013 г. по 20 сентября 2013 г.
405,Гинтама: Джамп Феста 2015,https://shikimori.one/animes/32122-gintama-umai-mono-wa-atomawashi-ni-suru-to-yokodorisareru-kara-yappari-saki-ni-kue,8.11,12 мин.,Спешл,Экшен,6 комментариев,
406,Драконий жемчуг: Супер — Броли,https://shikimori.one/animes/z36946-dragon-ball-super-broly,8.11,1 час 40 мин.,Фильм,Экшен,105 комментариев,
